Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,125.0,21.0,1.0,,
1,12.0,128.0,13.0,,
2,2.0,11.0,137.0,,
Accuracies,,,,0.9369047619047619,0.8666666666666667
