Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0.0,145.0,26.0,3.0,,
1.0,6.0,91.0,23.0,,
2.0,0.0,24.0,132.0,,
Accuracies,,,,0.8345238095238096,0.8177777777777778
