Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,132.0,12.0,3.0,,
1,15.0,137.0,9.0,,
2,0.0,12.0,130.0,,
Accuracies,,,,1.0,0.8866666666666667
