Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,106.0,39.0,5.0,,
1,35.0,98.0,20.0,,
2,4.0,13.0,130.0,,
Accuracies,,,,1.0,0.7422222222222222
