Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,111.0,42.0,5.0,,
1,30.0,98.0,26.0,,
2,4.0,10.0,124.0,,
Accuracies,,,,0.9988095238095238,0.74
