Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,104.0,31.0,2.0,,
1,34.0,111.0,13.0,,
2,3.0,17.0,135.0,,
Accuracies,,,,1.0,0.7777777777777778
