Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,131.0,17.0,2.0,,
1,16.0,135.0,14.0,,
2,0.0,9.0,126.0,,
Accuracies,,,,0.9952380952380953,0.8711111111111111
