Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,120.0,15.0,3.0,,
1,17.0,136.0,15.0,,
2,2.0,9.0,133.0,,
Accuracies,,,,0.9214285714285714,0.8644444444444445
