Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,110.0,40.0,11.0,,
1,31.0,98.0,11.0,,
2,4.0,12.0,133.0,,
Accuracies,,,,0.8809523809523809,0.7577777777777778
