Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0.0,107.0,65.0,11.0,,
1.0,35.0,66.0,9.0,,
2.0,0.0,23.0,134.0,,
Accuracies,,,,0.7285714285714285,0.6822222222222222
