Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,106.0,63.0,5.0,,
1,26.0,71.0,25.0,,
2,0.0,13.0,141.0,,
Accuracies,,,,0.7214285714285714,0.7066666666666667
