Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,135.0,11.0,4.0,,
1,13.0,124.0,6.0,,
2,0.0,13.0,144.0,,
Accuracies,,,,0.9321428571428572,0.8955555555555555
