Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,137.0,24.0,0.0,,
1,18.0,106.0,12.0,,
2,1.0,27.0,125.0,,
Accuracies,,,,0.8785714285714286,0.8177777777777778
