Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,114.0,54.0,10.0,,
1,33.0,76.0,19.0,,
2,0.0,20.0,124.0,,
Accuracies,,,,0.7321428571428571,0.6977777777777778
