Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,117.0,38.0,11.0,,
1,21.0,101.0,16.0,,
2,3.0,20.0,123.0,,
Accuracies,,,,0.9119047619047619,0.7577777777777778
