Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,123.0,47.0,12.0,,
1,20.0,87.0,9.0,,
2,2.0,16.0,134.0,,
Accuracies,,,,0.8785714285714286,0.7644444444444445
