Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,103.0,33.0,9.0,,
1,37.0,105.0,17.0,,
2,5.0,12.0,129.0,,
Accuracies,,,,0.9452380952380952,0.7488888888888889
