Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,117.0,41.0,8.0,,
1,20.0,102.0,12.0,,
2,4.0,16.0,130.0,,
Accuracies,,,,0.9023809523809524,0.7755555555555556
