Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,122.0,19.0,3.0,,
1,15.0,129.0,11.0,,
2,2.0,12.0,137.0,,
Accuracies,,,,0.9964285714285714,0.8622222222222222
