Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,144.0,25.0,2.0,,
1,7.0,105.0,29.0,,
2,0.0,11.0,127.0,,
Accuracies,,,,0.8607142857142858,0.8355555555555556
