Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,130.0,9.0,3.0,,
1,17.0,132.0,19.0,,
2,1.0,7.0,132.0,,
Accuracies,,,,0.9976190476190476,0.8755555555555555
