Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,126.0,11.0,2.0,,
1,18.0,119.0,7.0,,
2,4.0,18.0,145.0,,
Accuracies,,,,0.9642857142857143,0.8666666666666667
