Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,142.0,17.0,6.0,,
1,5.0,125.0,8.0,,
2,0.0,19.0,128.0,,
Accuracies,,,,0.9238095238095239,0.8777777777777778
