Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,120.0,56.0,9.0,,
1,27.0,72.0,15.0,,
2,0.0,22.0,129.0,,
Accuracies,,,,0.7321428571428571,0.7133333333333334
