Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,125.0,17.0,2.0,,
1,12.0,126.0,13.0,,
2,2.0,17.0,136.0,,
Accuracies,,,,0.9797619047619047,0.86
