Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0.0,138.0,15.0,3.0,,
1.0,10.0,115.0,25.0,,
2.0,0.0,18.0,126.0,,
Accuracies,,,,0.8773809523809524,0.8422222222222222
