Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,130.0,17.0,0.0,,
1,8.0,125.0,32.0,,
2,0.0,17.0,121.0,,
Accuracies,,,,0.8630952380952381,0.8355555555555556
