Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0.0,144.0,30.0,0.0,,
1.0,12.0,109.0,21.0,,
2.0,0.0,18.0,116.0,,
Accuracies,,,,0.844047619047619,0.82
