Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0.0,104.0,58.0,5.0,,
1.0,28.0,74.0,21.0,,
2.0,0.0,15.0,145.0,,
Accuracies,,,,0.7095238095238096,0.7177777777777777
