Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0.0,118.0,38.0,11.0,,
1.0,20.0,101.0,10.0,,
2.0,3.0,20.0,129.0,,
Accuracies,,,,0.8345238095238096,0.7733333333333333
