Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,103.0,62.0,6.0,,
1,29.0,69.0,26.0,,
2,0.0,16.0,139.0,,
Accuracies,,,,0.75,0.6911111111111111
