Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,126.0,18.0,0.0,,
1,12.0,131.0,36.0,,
2,0.0,10.0,117.0,,
Accuracies,,,,0.8690476190476191,0.8311111111111111
