Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,135.0,11.0,4.0,,
1,12.0,124.0,8.0,,
2,1.0,13.0,142.0,,
Accuracies,,,,0.9726190476190476,0.8911111111111111
