Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,147.0,23.0,1.0,,
1,4.0,102.0,26.0,,
2,0.0,16.0,131.0,,
Accuracies,,,,0.8523809523809524,0.8444444444444444
