Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,130.0,19.0,1.0,,
1,7.0,114.0,29.0,,
2,1.0,26.0,123.0,,
Accuracies,,,,0.8845238095238095,0.8155555555555556
