Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,107.0,32.0,3.0,,
1,32.0,108.0,11.0,,
2,2.0,19.0,136.0,,
Accuracies,,,,1.0,0.78
