Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,100.0,55.0,5.0,,
1,32.0,75.0,21.0,,
2,0.0,17.0,145.0,,
Accuracies,,,,0.7166666666666667,0.7111111111111111
