Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0.0,129.0,28.0,3.0,,
1.0,10.0,116.0,15.0,,
2.0,0.0,16.0,133.0,,
Accuracies,,,,0.888095238095238,0.84
