Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,135.0,12.0,3.0,,
1,11.0,119.0,11.0,,
2,2.0,17.0,140.0,,
Accuracies,,,,0.930952380952381,0.8755555555555555
