Pred/Actual,0.0,1.0,2.0,OA_Resubs,OA_Holdout
0,140.0,14.0,3.0,,
1,7.0,137.0,11.0,,
2,0.0,10.0,128.0,,
Accuracies,,,,0.9297619047619048,0.9
